temp,temp
1536,2016-06-06
1537,76.0
1538,2016-06-07
1539,78.0
1540,2016-06-08
1541,77.0
1542,2016-06-09
1543,75.0
1544,2016-06-13
1545,78.0
1546,2016-06-14
1547,81.0
1548,2016-06-15
1549,78.0
1550,2016-06-16
1551,76.0
1552,2016-06-17
1553,73.0
1554,2016-06-20
1555,74.0
1556,2016-06-21
1557,76.0
1558,2016-06-22
1559,78.0
1560,2016-06-23
1561,79.0
1562,2016-06-24
1563,78.0
1564,2016-06-27
1565,72.0
1566,2016-06-28
1567,78.0
1568,2016-06-29
1569,80.0
1570,2016-06-30
1571,81.0
1572,2017-06-02
1573,79.0
1574,2017-06-05
1575,78.0
1576,2017-06-06
1577,80.0
1578,2017-06-07
1579,80.0
1580,2017-06-08
1581,78.0
1582,2017-06-09
1583,80.0
1584,2017-06-13
1585,81.0
1586,2017-06-14
1587,78.0
1588,2017-06-15
1589,77.0
1590,2017-06-16
1591,78.0
1592,2017-06-19
1593,78.0
1594,2017-06-20
1595,77.0
1596,2017-06-21
1597,76.0
1598,2017-06-22
1599,81.0
1600,2017-06-23
1601,76.0
1602,2017-06-26
1603,82.0
1604,2017-06-27
1605,80.0
1606,2017-06-28
1607,80.0
1608,2017-06-29
1609,79.0
1610,2017-06-30
1611,74.0
1612,2010-06-01
1613,69.0
1614,2010-06-02
1615,70.0
1616,2010-06-03
1617,67.0
1618,2010-06-04
1619,70.0
1620,2010-06-05
1621,73.0
1622,2010-06-06
1623,73.0
1624,2010-06-09
1625,72.0
1626,2010-06-10
1627,72.0
1628,2010-06-11
1629,77.0
1630,2010-06-12
1631,70.0
1632,2010-06-13
1633,78.0
1634,2010-06-15
1635,73.0
1636,2010-06-17
1637,75.0
1638,2010-06-18
1639,70.0
1640,2010-06-19
1641,74.0
1642,2010-06-20
1643,77.0
1644,2010-06-22
1645,69.0
1646,2010-06-23
1647,73.0
1648,2010-06-24
1649,73.0
1650,2010-06-25
1651,74.0
1652,2010-06-28
1653,73.0
1654,2010-06-29
1655,72.0
1656,2010-06-30
1657,75.0
1658,2011-06-08
1659,73.0
1660,2011-06-09
1661,76.0
1662,2011-06-12
1663,74.0
1664,2011-06-13
1665,76.0
1666,2011-06-14
1667,73.0
1668,2011-06-15
1669,76.0
1670,2011-06-16
1671,76.0
1672,2011-06-20
1673,78.0
1674,2011-06-21
1675,75.0
1676,2011-06-22
1677,77.0
1678,2012-06-01
1679,75.0
1680,2012-06-14
1681,73.0
1682,2012-06-21
1683,76.0
1684,2012-06-26
1685,71.0
1686,2012-06-29
1687,71.0
1688,2010-06-01
1689,76.0
1690,2010-06-02
1691,76.0
1692,2010-06-03
1693,76.0
1694,2010-06-04
1695,73.0
1696,2010-06-05
1697,78.0
1698,2010-06-06
1699,77.0
1700,2010-06-07
1701,77.0
1702,2010-06-08
1703,77.0
1704,2010-06-09
1705,78.0
1706,2010-06-10
1707,78.0
1708,2010-06-11
1709,76.0
1710,2010-06-12
1711,76.0
1712,2010-06-13
1713,79.0
1714,2010-06-14
1715,74.0
1716,2010-06-15
1717,75.0
1718,2010-06-16
1719,76.0
1720,2010-06-17
1721,75.0
1722,2010-06-18
1723,73.0
1724,2010-06-19
1725,76.0
1726,2010-06-20
1727,78.0
1728,2010-06-21
1729,76.0
1730,2010-06-22
1731,79.0
1732,2010-06-23
1733,77.0
1734,2010-06-24
1735,76.0
1736,2010-06-25
1737,74.0
1738,2010-06-26
1739,75.0
1740,2010-06-28
1741,76.0
1742,2010-06-29
1743,76.0
1744,2010-06-30
1745,76.0
1746,2011-06-01
1747,79.0
1748,2011-06-02
1749,76.0
1750,2011-06-03
1751,72.0
1752,2011-06-04
1753,71.0
1754,2011-06-05
1755,72.0
1756,2011-06-06
1757,76.0
1758,2011-06-07
1759,74.0
